,Order Date,Sales,is_holiday,year,month,day_of_year,day_of_week,is_weekend,quarter,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_7,sales_lag_14,sales_lag_30,sales_lag_365,Profit_lag_7,Quantity_lag_7,Quantity_lag_14,Quantity_lag_30,rolling_mean_sales_3d,rolling_mean_sales_7d,rolling_mean_sales_14d,rolling_mean_sales_30d,rolling_mean_sales_1q
0,2011-01-04,16.448,0,2011,1,4,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2011-01-05,288.06,0,2011,1,5,2,0,1,16.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2011-01-06,19.536,0,2011,1,6,3,0,1,288.06,16.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.01466666666666,0.0,0.0,0.0,0.0
3,2011-01-07,4407.1,0,2011,1,7,4,0,1,19.536,288.06,16.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.5653333333332,0.0,0.0,0.0,0.0
4,2011-01-08,87.15799999999999,0,2011,1,8,5,1,1,4407.1,19.536,288.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504.598,0.0,0.0,0.0,0.0
5,2011-01-09,0.0,0,2011,1,9,6,1,1,87.15799999999999,4407.1,19.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498.086,0.0,0.0,0.0,0.0
6,2011-01-10,40.544,0,2011,1,10,0,0,1,0.0,87.15799999999999,4407.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.567333333333025,694.1208571428572,0.0,0.0,0.0
7,2011-01-11,54.83,0,2011,1,11,1,0,1,40.544,0.0,87.15799999999999,16.448,0.0,0.0,0.0,5.5512,2.0,0.0,0.0,31.79133333333303,699.604,0.0,0.0,0.0
8,2011-01-12,9.94,0,2011,1,12,2,0,1,54.83,40.544,0.0,288.06,0.0,0.0,0.0,-65.9901,8.0,0.0,0.0,35.10466666666636,659.8725714285714,0.0,0.0,0.0
9,2011-01-13,0.0,0,2011,1,13,3,0,1,9.94,54.83,40.544,19.536,0.0,0.0,0.0,4.884,3.0,0.0,0.0,21.589999999999694,657.0817142857143,0.0,0.0,0.0
10,2011-01-14,3553.795,0,2011,1,14,4,0,1,0.0,9.94,54.83,4407.1,0.0,0.0,0.0,1358.0524,30.0,0.0,0.0,1187.9116666666664,535.181,0.0,0.0,0.0
11,2011-01-15,61.96,0,2011,1,15,5,1,1,3553.795,0.0,9.94,87.15799999999999,0.0,0.0,0.0,-71.9621,10.0,0.0,0.0,1205.2516666666663,531.5812857142857,0.0,0.0,0.0
12,2011-01-16,149.95,0,2011,1,16,6,1,1,61.96,3553.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1255.2349999999997,553.0027142857143,0.0,0.0,0.0
13,2011-01-17,299.964,1,2011,1,17,0,0,1,149.95,61.96,3553.795,40.544,0.0,0.0,0.0,10.918,5.0,0.0,0.0,170.62466666666637,590.0627142857144,642.0917857142857,0.0,0.0
14,2011-01-18,0.0,0,2011,1,18,1,0,1,299.964,149.95,61.96,54.83,16.448,0.0,0.0,22.6537,2.0,2.0,0.0,149.97133333333304,582.2298571428572,640.9169285714286,0.0,0.0
15,2011-01-19,64.864,0,2011,1,19,2,0,1,0.0,299.964,149.95,9.94,288.06,0.0,0.0,3.0814,2.0,8.0,0.0,121.60933333333305,590.0761428571429,624.9743571428572,0.0,0.0
16,2011-01-20,378.594,0,2011,1,20,3,0,1,64.864,0.0,299.964,0.0,19.536,0.0,0.0,0.0,0.0,3.0,0.0,147.81933333333302,644.1610000000001,650.6213571428572,0.0,0.0
17,2011-01-21,2673.87,0,2011,1,21,4,0,1,378.594,64.864,0.0,3553.795,4407.1,0.0,0.0,673.6386,48.0,30.0,0.0,1039.109333333333,518.4574285714285,526.8192142857143,0.0,0.0
18,2011-01-22,25.248,0,2011,1,22,5,1,1,2673.87,378.594,64.864,61.96,87.15799999999999,0.0,0.0,-53.2856,4.0,10.0,0.0,1025.9039999999998,513.2128571428572,522.3970714285714,0.0,0.0
